ID,Restaurant Name,Review,Address,Phone Number,Years in Business, Website Link,Email Address,General Information,Time(in Hour),Payment Methods,Category,Services/Products,Neighborhood,Banner Link,Other Information
1,Blue Wave Bar & Grill,(1 Review),"2051 Shelter Island Dr, San Diego, CA 92106",(619) 376-1639,30,http://www.islandpalms.com/dining.aspx; http://www.islandpalms.com/dining.aspx; http://www.islandpalms.com; ,ipreservations@islandpalms.com; astewart@islandpalms.com; ,"Enjoy the beautiful view of Point Loma paired with the delectable flavors of seasonally inspired cuisine created by Executive Chef, Christopher Spayde. What's more, the restaurant features an excellent wine list and the lounge offers a daily happy hour. You can also order room service or have food delivered poolside. Relax and unwind around a great meal at Blue Wave Bar & Grill.",Mon - Sun: 6:30 am - 10:00 pm; ,"amex, discover, mastercard, visa","Restaurants, Bar & Grills, Bars, Breakfast, Brunch & Lunch Restaurants, Cocktail Lounges, Hotels, Lodging, Night Clubs, Seafood Restaurants, Taverns ",Cocktail Lounges|Restaurants|,"La Playa, Western San Diego",https://i1.ypcdn.com/displaygif/sbc/BlueWaveBarGri_1571479_BW.gif,"Parking: Lot, Private;Wi-Fi: Free;Bike Parking: Yes;Attire: Casual;Wheelchair Accessible: Yes;Cuisines: Omelets;Alcohol: Full Bar;Takes Reservations: Yes;Outdoor Seating: Yes;Specialties: Banquets, Meetings;Price Range : Average;"
2,Sorrento Ristorante & Pizzeria,(0 Review),"1646 India St, San Diego, CA 92101",(619) 317-1779,,https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1559895188831.11bf6219&ADID=11897193&DEST=http%3A%2F%2Fsorrentoristoranteandpizzeria2.mydex.com%2F9S2mfe57-nY&C=Italian%20Restaurants&T=San%20Diego&S=CA&PH=(619)%20317-1779&FL=url&TL=off&position=0&PS=1&PI=1&Results=FEED_CLCK&uid=11bf6219-4521-4591-aab9-5853be0986c8&REF=&IP=103.250.188.75&UserAgent=python-requests%2F2.22.0; https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1559895188849.11bf6219&ADID=11897193&DEST=http%3A%2F%2Fsorrentoristoranteandpizzeria2.mydex.com%2F9S2mfe57-nY&C=Italian%20Restaurants&T=San%20Diego&S=CA&PH=(619)%20317-1779&FL=url&TL=off&position=0&PS=1&PI=1&Results=FEED_CLCK&uid=11bf6219-4521-4591-aab9-5853be0986c8&REF=&IP=103.250.188.75&UserAgent=python-requests%2F2.22.0; https://www.sorrentoristoranteandpizzeria.com; ,sorrento_littleitaly@hotmail.com; ,"Established in 2015, Sorrento ristorante is reviving the culture and gastronomie of Sorrento in Italy. Some of the most popular dishes include : fresh cut octopus carpaccio, sauteed clams and mussels in a garlicky cherry tomato sauce, cannelloni au gratin with smoked mozzarella, homemade buttery provolone raviolis, traditional veal picatta in a lemon caper sauce, authentic italian style pizza or even the delicate and zesty tiramisu al limoncello. At Sorrento ristorante, we specialize in authentic regional Italian cuisine. Some of our most popular dishes include : carpaccio di polipo, gamberi portofino, pizze profumata, lnguine nere, orechiette e cime di rapa, tiramisu al limoncello, and many more choices!",Mon - Sun: 11:30 am - 11:00 pm; ,all major credit cards,"Italian Restaurants, Bars, Caterers, Pizza, Restaurants, Taverns ",Beer|Thin Crust Pizza|Sicilian Pizza|Appetizers|Healthy & Vegetarian Menus|Vegetarian Pizza|Alcoholic Beverages|Salad Bars|Breadsticks|Wine|Spaghetti|Custom Menus|Gluten Free Pizza Restaurants|Gourmet Pizza|Stuffed Pizza|Organic Wholewheat Pizza|Gourmet Foods|Pan Pizza||Pizza Buffet|Late Night Dining|Private Dining|Gift Certificates|Formal Dining|Pizza Takeout|Early Bird Dinners|Outdoor Dining|Happy Hour|Take Out|Birthday Parties|Bar|Late Night Dining|Group Dining|Happy Hour,"Little Italy, Central San Diego",,Attire: Casual;Wi-Fi: No;Pets Allowed: Yes;Wheelchair Accessible: Yes;Takes Reservations: Yes;Parking: Street;Bike Parking: No;Outdoor Seating: Yes;
3,El Indio Mexican Restaurant and Catering,(5 Reviews),"3695 India St, San Diego, CA 92103",(619) 798-5428,79,http://www.elindiosandiego.net; http://www.elindiosandiego.net; http://www.el-indio.com; http://www.elindiocatering.com; ,jennifer@el-indio.com; itdept@elindiocatering.com; martha@elindiocatering.com; ,Come Celebrate our 75th Year Serving San Diego!,Mon - Sun: 8:00 am - 9:00 pm; ,"visa, amex, mastercard, paypal, all major credit cards","Restaurants, Caterers, Family Style Restaurants, Food & Beverage Consultants, Gourmet Shops, Grocers-Ethnic Foods, Grocery Stores, Mexican & Latin American Grocery Stores, Mexican Restaurants, Party Favors, Supplies & Services, Take Out Restaurants, Tortillas ",Anniversaries|Appetizers|Birthdays|Breakfast|Burritos|Carnitas|Catering|Catering Services|Chimichangas|Corporate Events|Dessert|Dinner|Enchiladas|Free Parking|Graduations|Lunch|Nachos|Picnics|Quesadillas|Rentals|Restaurants|Tacos|Tamales|Tortillas|Weddings|,"Midtown, Western San Diego",https://i1.ypcdn.com/displaygif/sbc/ElIndioMexican_1007206_BW.gif,"Parking: Street, Lot, Private;Wi-Fi: Free;Attire: Casual;Wheelchair Accessible: Yes;Take Out: Yes;Takes Reservations: No;Outdoor Seating: Yes;Price Range : Below Average;Specialties: Bridal, Business Events, Fiestas;"
4,Sportsmen's Seafood,(2 Reviews),"1617 Quivira Rd, San Diego, CA 92109",(619) 224-3551,65,http://www.sportsmensseafood.com; http://www.sportsmensseafood.com; ,joe@sportsmensseafood.com; ,"Sportsmen’s Seafoods was founded in 1965 by Grandfather Busalacchi and offers casual dining with a waterfront view. Next door is the Fish Market where we offer the freshest fish, shellfish, smoked fish and even jerky. In addition we offer our exclusive one-stop complete processing services directly to you.   Serving the Sports Fisherman in San Diego Since 1965 We offer our exclusive one-stop complete processing services directly to you! In the very same tradition that founded America’s commercial fishing industry, the World Famous Tuna Jerky Co. located at Sportsmen’s Seafood now offers the same Old World quality and dedicated service that Captains and Crews have enjoyed exclusively for years. Our family guarded marinade recipies and smoking technique are the “SECRET” ingredients you can’t find anywhere but at World Famous Tuna Jerky. Delicious Smoking and processing of your catch – “Taste the Difference” DON’T BE MISLEAD BY LOW QUALITY COMPETITORS • They can try to copy our name, but they can’t copy our quality or service • We use only YOUR fish, NO “trading out” or “switching” for other lesser-quality product • We work with you from start to finish – We aren’t done until you are satisfied • Our name & reputation are here to stay – We won’t change it every year to fool you • Our Quality, Customer Service and Satisfaction are Guaranteed • We are the longest operating seafood processor serving Fisherman’s Landing, Point Loma Sportfishing and H & M Landing.  • We offer convenient Direct Dockside Pick-Up  The same spirit that founded America brought Grandfather Busalacchi from Italy to the promise of “Free Enterprise” and the American way of life. Now two generations later, Sportsmen’s Seafood carries that same tradition Grandfather Busalacchi brought with him… offering only the best and freshest seafood San Diego has to offer! Most offerings on our menu are homemade family recipes and we only use the finest ingredients including cholesterol free oil. The best seafood in San Diego wouldn’t be complete without a waterfront location that gives you one of the most scenic views on the west coast. Welcome to Sportsmen’s Seafood and enjoy!",Tue - Sun: 11:00 am - 8:00 pm; ,"visa, mastercard, discover, cash","Restaurants, Box Lunches, Caterers, Fish & Seafood Markets, Seafood Restaurants, Take Out Restaurants ",Casual Dining Fish Market Fish Processing Smoked Fish Fish Jerkies,"Mission Bay Park, Northern San Diego",https://i1.ypcdn.com/displaygif/sbc/89fc5689335342108d40de5172760ff1.gif,"Parking: Lot, Private;Wi-Fi: No;Bike Parking: Yes;Attire: Casual;Wheelchair Accessible: Yes;Cuisines: Seafood;Takes Reservations: No;Outdoor Seating: Yes;Price Range : Below Average;"
5,Humphreys Restaurant,(2 Reviews),"2303 Shelter Island Dr, San Diego, CA 92106",(619) 354-7246,32,http://www.humphreysrestaurant.com; http://www.humphreysrestaurant.com; http://www.humphreysbythebay.com; http://www.humphreysbackstagelive.com; ,manager@humphreysrestaurant.com; ,"Long regarded in San Diego and abroad as one of the city's finest waterfront restaurants, Humphreys Restaurant features Modern Global Cuisine at its finest and overlooks the marina on beautiful San Diego Bay. After dinner, dance the night away in our adjacent Backstage Music Club to the finest live entertainment San Diego has to offer. Reservations made online are for the dining room only. Sunday Brunch: $43.95 for Adults and free for Children 4-12. If you want to enjoy the live jazz during your brunch, the reservation can not be made online.",Mon - Thu: 6:30 am - 9:00 pm; Fri: 6:30 am - 10:00 pm; Sat: 7:00 am - 10:00 pm; Sun: 7:00 am - 9:00 pm; ,"amex, visa, discover, cash, master card, all major credit cards","Restaurants, Convention Services & Facilities, Family Style Restaurants ",Restaurants,"La Playa, Western San Diego",,Cuisines: Family Style;Price Range : Below Average;
6,DeLuca's Pizza Restaurant,(2 Reviews),"3226 Thorn St, San Diego, CA 92104",(619) 280-0448,35,http://www.delucasp.com; http://www.delucasp.com; ,,"Come Delucas Pizza. We have been serving delicious Pizza and Italian food since 1984. Now Serving beer and wine. De Luca's is the perfect lunch or dinner destination for any occasion. Pizza, Pasta, Sandwiches, Salads, and More. 
  Open Sun-Thu 11am-9pm (10pm Fri-Sat)",Mon - Sun: 11:00 am - 10:00 pm; ,"visa, mastercard","Restaurants, Italian Restaurants, Pizza, Restaurant Delivery Service, Take Out Restaurants ","Pasta, Pizza, Sandwiches, Salads","North Park, Western San Diego",https://i1.ypcdn.com/displaygif/sbc/d4dd662e1c1f40b8b03266ff93f69af4.gif,"Cuisines: Italian, European, Continental, Pizza;"
7,Tropical Star Restaurant & Specialty Market,(0 Review),"6163 Balboa Ave, San Diego, CA 92111",(858) 522-9772,22,http://www.tropicalstarrestaurant.com/; http://www.tropicalstarrestaurant.com; ,amandabeniquez@hotmail.com; ,"Our menu brings you authentic recipes from Puerto Rico, Cuba, Central and South America.",Mon - Sat: 11:00 am - 9:00 pm; Sun Closed; ,discover,"Restaurants, Brazilian Restaurants, Caribbean Restaurants, Caterers, Cuban Restaurants, Delicatessens, Family Style Restaurants, Grocers-Ethnic Foods, Grocery Stores, Latin American Restaurants, Mexican & Latin American Grocery Stores ",Restaurants,"Clairemont Mesa East, Northern San Diego",https://i1.ypcdn.com/displaygif/sbc/7b75ec933de44953a707a06f3852885f.gif,"Cuisines: South American, Brazilian, Caribbean, Latin American;Price Range : Below Average;"
8,Arrivederci Ristorante,(8 Reviews),"3845 4th Ave, San Diego, CA 92103",(619) 299-6282,29,http://www.arrivederciristorante.com; http://www.arrivederciristorante.com; ,toninosandiego@hotmail.com; ,"Located in the heart of Hillcrest and voted best Italian restaurant in San Diego many years in a row, Arrivederci saw its first day in 1995 thanks to the Mastellone Family. His philosophy : deliver simple food at a reasonable price with friendly service. Later the group of restaurants will grow with Au Revoir Bistro, Il Postino, Buon Appetito, Piacere Mio, Sorrento,...) Authentic Italian restaurant, Arrivederci, has a casual ambiance, traditional Italian cuisine and an atmosphere that transports you directly to Tuscany, and the middle of Campania! 
 
Our Italian homemade cuisine is a perfectly inexpensive recipe, a little bit of tradition, an ounce of modern Italian cooking inspired by different regions, and a big cup of love from our Chef and his team.",Mon - Thu: 11:30 am - 10:00 pm; Fri - Sat: 11:30 am - 11:00 pm; Sun: 11:30 am - 10:00 pm; ,"all major credit cards, debit, amex, discover, master card, visa","Restaurants, Grocers-Ethnic Foods, Grocery Stores, Italian Grocery Stores, Italian Restaurants ",Beer|Feta|Olive Oil|Traditional Colonma|Peppers|Appetizers|Ciabatta|Eggplant|Torrone|Sandwiches|Healthy & Vegetarian Menus|Homemade Pasta|Marscapone|Torta Cappucino|Alcoholic Beverages|Imported Cheeses|Salad Bars|Biscotti|Breadsticks|Wine|Spaghetti|Ricotta Salata|Homemade Breads|Pastries|Asiago|Tuna|Panetone|Pizelle|Cantucci|Drinks|Ghiottini|Provolone|Homemade Soups|Italian Cuisine||Italian Foods|Private Dining|Reservations|Family Friendly|Parking|Early Bird Dinners|Take Out|Italian Specialty Foods|Dine In|Italian Restaurant,"Hillcrest, Western San Diego",,"Parking: Street;Wi-Fi: No;Bike Parking: Yes;Attire: Casual;Good For Groups: Yes;Wheelchair Accessible: Yes;Cuisines: Italian, European, Continental;Alcohol: Beer, Yes, Wine;Takes Reservations: Yes;Outdoor Seating: Yes;Price Range : Average;"
9,Larson Sharpening Inc.,(2 Reviews),"2008 Goshawk St, San Diego, CA 92123",(858) 518-1457,65,http://supermansharp.com; http://supermansharp.com; ,neil.larson55@gmail.com; ,"Welcome to Larson Sharpening, Inc.! 
 
Larson Sharpening, Inc. is the go-to for all sharpening and repair services for beauty professionals and barbers, pet grooming and veterinarians, and the medical industry. 
 
With over 40 years of experience, Larson Sharpening, Inc. has the knowledge and aptitude to continue providing customers with exceptional service. 
 
Larson Sharpening, Inc. is family owned and operated, and we pride ourselves on providing our clients with reliable, dependable, and quality service. We also offer mobile on-site services, mail order, and pick up and drop off. Call or text us today for your quote.",Mon - Fri: 8:00 am - 6:00 pm; Sat - Sun Closed; ,"discover, master card, visa, amex","Sharpening Service, Livestock Equipment & Supplies, Mediterranean Restaurants, Restaurants, Seafood Restaurants, Sewing Machines-Service & Repair ","We sharpen clipper blades for Oster, Andis, Laube, Wahl, and other name brand clippers. We specialize in Clipper Blade Sharpening * Scissor Sharpening * Clipper Repair *","Birdland, Eastern San Diego",,
10,Sitar Indian Cuisine,(2 Reviews),"9450 Scranton Rd, San Diego, CA 92121",(858) 535-1941,22,http://sitarsandiego.com; http://sitarsandiego.com; http://sitarsandiegoca.us; http://www.tripadvisor.com/Restaurant_Review-g60750-d950445-Reviews-m32908-Sitar_Indian_Cuisine-San_Diego_California.html; ,,"The Sitar Indian Cuisine where you can find great Indian Food Vegetarian and Non-Vegetarian. ""Our Curry specialties offer you a comprehensive selection of both vegetarian and non vegetarian dishes. Carefully blended spices compliment the interesting mixture of vegetables, meats and dals (lentils), enhancing the flavor and adding subtlety to the dishes. "" The robust menu features items that are gluten-free, low-fat, vegan, vegetarian and Meat Dishes. Plus, it's been tabbed as a nice option for both families with children and large groups. Along with its outdoor seating arrangements, it's one of the few dog-friendly restaurants in the area. In addition to its quick service (take-out is available), the restaurant also offers delivery, and can even cater an event for you.",Mon - Sat: 11:00 am - 9:00 pm; Sun Closed; ,amex,"Indian Restaurants, Asian Restaurants, Caterers, Middle Eastern Restaurants, Restaurants ",,"Sorrento Valley, Northern San Diego",,"Parking: Lot, Private;Wi-Fi: No;Bike Parking: Yes;Attire: Casual;Wheelchair Accessible: Yes;Cuisines: Asian, Caterers, Indian, Middle Eastern;Alcohol: No;Takes Reservations: No;Outdoor Seating: Yes;Specialties: Banquets;Price Range : Below Average;"
